# Generated by scripts/neighbour-manifest.sh --refresh. Do not hand-edit.
# Every forge-kit component whose NAME is also shipped by an installed neighbouring
# marketplace. verdict=duplicate means the two files are the same file (see DUP_MAX in
# the generator); verdict=collision means two projects picked the same obvious name.
# measured is the day the comparison ran: it ages, and the guard says so.
marketplace	plugin	kind	name	their_lines	our_lines	differing	verdict	measured
claude-code-workflows	framework-migration	agent	architect-review	162	172	9	duplicate	2026-09-10
claude-code-workflows	backend-development	agent	backend-architect	309	320	10	duplicate	2026-09-10
claude-code-workflows	tdd-workflows	agent	code-reviewer	171	168	312	collision	2026-09-10
claude-plugins-official	feature-dev	agent	code-reviewer	46	168	199	collision	2026-09-10
claude-plugins-official	code-simplifier	agent	code-simplifier	52	86	103	collision	2026-09-10
claude-code-workflows	data-validation-suite	agent	backend-security-coder	153	155	1	duplicate	2026-09-10
claude-code-workflows	backend-development	agent	security-auditor	41	182	195	collision	2026-09-10
claude-plugins-official	code-modernization	agent	security-auditor	100	182	272	collision	2026-09-10
claude-code-workflows	performance-testing-review	agent	performance-engineer	167	46	186	collision	2026-09-10
claude-code-workflows	tdd-workflows	agent	tdd-orchestrator	183	185	1	duplicate	2026-09-10
claude-code-workflows	performance-testing-review	agent	test-automator	220	46	237	collision	2026-09-10
claude-code-workflows	comprehensive-review	command	full-review	597	729	173	collision	2026-09-10
claude-code-workflows	comprehensive-review	command	pr-enhance	713	711	5	duplicate	2026-09-10
claude-code-workflows	backend-development	skill	api-design-principles	110	532	425	collision	2026-09-10
claude-code-workflows	backend-development	skill	architecture-patterns	164	468	487	collision	2026-09-10
claude-code-workflows	backend-development	skill	cqrs-implementation	79	551	475	collision	2026-09-10
claude-code-workflows	backend-development	skill	microservices-patterns	90	566	479	collision	2026-09-10
claude-code-workflows	backend-development	skill	saga-orchestration	117	481	529	collision	2026-09-10
